DSetID,Flag,FleetCode,Year,GearGrp,GearCode,TimePeriodID,SquareTypeCode,QuadID,Lat,Lon,Eff1,Eff1Type,CatchUnits,DSetType,SKJ,
4547,EU.España,EU.ESP-ES-ETRO,2009,BB,BB,11,1x1,4,19,18,89.6,FISH.HOUR,kg,-w,28630,319.53125
4547,EU.España,EU.ESP-ES-ETRO,2009,BB,BB,12,1x1,4,12,18,11.4,FISH.HOUR,kg,-w,9520,835.0877193
4547,EU.España,EU.ESP-ES-ETRO,2009,BB,BB,12,1x1,4,14,18,112.6,FISH.HOUR,kg,-w,47510,421.9360568
4547,EU.España,EU.ESP-ES-ETRO,2009,BB,BB,12,1x1,4,14,19,33.8,FISH.HOUR,kg,-w,8720,257.9881657
4547,EU.España,EU.ESP-ES-ETRO,2009,BB,BB,12,1x1,4,15,18,44.8,FISH.HOUR,kg,-w,14840,331.25
4547,EU.España,EU.ESP-ES-ETRO,2009,BB,BB,12,1x1,4,15,19,11.2,FISH.HOUR,kg,-w,2770,247.3214286
4547,EU.España,EU.ESP-ES-ETRO,2009,BB,BB,12,1x1,4,16,17,11.1,FISH.HOUR,kg,-w,590,53.15315315
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,1,1x1,4,13,17,11.4,FISH.HOUR,kg,-w,2540,222.8070175
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,1,1x1,4,14,18,11.3,FISH.HOUR,kg,-w,7340,649.5575221
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,2,1x1,4,15,18,46.5,FISH.HOUR,kg,-w,24640,529.8924731
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,3,1x1,4,11,19,12,FISH.HOUR,kg,-w,2560,213.3333333
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,3,1x1,4,12,18,12,FISH.HOUR,kg,-w,170,14.16666667
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,3,1x1,4,13,17,12,FISH.HOUR,kg,-w,920,76.66666667
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,3,1x1,4,14,19,24,FISH.HOUR,kg,-w,7230,301.25
